Nâng cấp bắt đầu: 11:44:37_07-03-2021
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file includes/ini.php | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file includes/language/en/admin_settings.php | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file includes/language/fr/admin_settings.php | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file includes/language/vi/admin_settings.php | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file includes/mainfile.php | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file install/config.php | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file install/data.php | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file install/index.php | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file install/mainfile.php | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file install/tpl/step1.tpl | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file modules/banners/version.php | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file modules/comment/version.php | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file modules/contact/admin/forward.php | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file modules/contact/admin/reply.php | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file modules/contact/admin/send.php | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file modules/contact/sign.php | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file modules/contact/version.php | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file modules/feeds/version.php | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file modules/freecontent/version.php | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file modules/menu/version.php | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file modules/news/admin/content.php | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file modules/news/admin/main.php | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file modules/news/admin/sources.php | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file modules/news/funcs/content.php | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file modules/news/funcs/search.php | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file modules/news/version.php | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file modules/page/admin/content.php | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file modules/page/version.php | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file modules/seek/version.php | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file modules/statistics/version.php | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file modules/two-step-verification/version.php | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file modules/users/action_mysql.php | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file modules/users/admin/config.php | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file modules/users/admin/config_facebook.php | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file modules/users/admin/config_google.php | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file modules/users/admin/config_single-sign-on.php | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file modules/users/admin/del.php | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file modules/users/admin/edit.php | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file modules/users/admin/fields.php | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file modules/users/admin/getuserid.php | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file modules/users/admin/groups.php | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file modules/users/admin/main.php | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file modules/users/admin/setactive.php | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file modules/users/admin/siteterms.php | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file modules/users/admin/user_add.php | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file modules/users/admin/user_waiting.php | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file modules/users/admin/user_waiting_remail.php | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file modules/users/admin.menu.php | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file modules/users/funcs/avatar.php | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file modules/users/funcs/editinfo.php | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file modules/users/funcs/lostactivelink.php | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file modules/users/funcs/lostpass.php | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file modules/users/funcs/register.php | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file modules/users/language/admin_en.php | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file modules/users/language/admin_fr.php | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file modules/users/language/admin_vi.php | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file modules/users/version.php | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file modules/voting/version.php | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file themes/admin_default/js/authors.js | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file themes/admin_default/js/database.js | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file themes/admin_default/js/extensions.js | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file themes/admin_default/js/modules.js | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file themes/admin_default/js/settings.js | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file themes/admin_default/js/siteinfo.js | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file themes/admin_default/js/themes.js | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file themes/admin_default/js/users.js | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file themes/admin_default/modules/authors/add.tpl | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file themes/admin_default/modules/authors/config.tpl | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file themes/admin_default/modules/authors/del.tpl | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file themes/admin_default/modules/authors/edit.tpl | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file themes/admin_default/modules/authors/module.tpl | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file themes/admin_default/modules/authors/suspend.tpl | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file themes/admin_default/modules/contact/reply.tpl | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file themes/admin_default/modules/database/sampledata.tpl | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file themes/admin_default/modules/database/setting.tpl | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file themes/admin_default/modules/extensions/login.tpl | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file themes/admin_default/modules/extensions/manage.tpl | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file themes/admin_default/modules/modules/edit.tpl | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file themes/admin_default/modules/modules/main.tpl | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file themes/admin_default/modules/seotools/metatags.tpl | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file themes/admin_default/modules/seotools/pagetitle.tpl | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file themes/admin_default/modules/seotools/robots.tpl | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file themes/admin_default/modules/seotools/sitemap.tpl | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file themes/admin_default/modules/settings/cronjobs_add.tpl | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file themes/admin_default/modules/settings/cronjobs_list.tpl | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file themes/admin_default/modules/settings/ftp.tpl | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file themes/admin_default/modules/settings/main.tpl | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file themes/admin_default/modules/settings/plugin.tpl | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file themes/admin_default/modules/settings/security.tpl | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file themes/admin_default/modules/settings/smtp.tpl | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file themes/admin_default/modules/settings/system.tpl | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file themes/admin_default/modules/settings/variables.tpl | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file themes/admin_default/modules/themes/block_content.tpl | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file themes/admin_default/modules/themes/blocks_func.tpl | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file themes/admin_default/modules/themes/main.tpl | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file themes/admin_default/modules/themes/package_theme_module.tpl | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file themes/admin_default/modules/themes/setuplayout.tpl | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file themes/admin_default/modules/themes/xcopyblock.tpl | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file themes/admin_default/modules/users/config.tpl | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file themes/admin_default/modules/users/config_oauth.tpl | SUCCESS
